DataSupplier,DataSet,Commodity,Species,SpeciesType,SACN,Volume,Units,CalendarYear,TemporalResolution,Flag,FlagDescription
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Basa,Freshwater,Lean,1099026000,Grams,2017,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Basa,Freshwater,Lean,15933452000,Grams,2017,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Basa,Freshwater,Lean,630092000,Grams,2018,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Basa,Freshwater,Lean,12887219000,Grams,2018,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Basa,Freshwater,Lean,616083000,Grams,2019,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Basa,Freshwater,Lean,15165110000,Grams,2019,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Basa,Freshwater,Lean,528885000,Grams,2020,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Basa,Freshwater,Lean,14298065000,Grams,2020,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Blue whiting,Marine,Lean,23034634000,Grams,2009,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Blue whiting,Marine,Lean,6636372000,Grams,2009,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Blue whiting,Marine,Lean,36662898000,Grams,2010,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Blue whiting,Marine,Lean,5314253000,Grams,2010,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Blue whiting,Marine,Lean,3202690000,Grams,2011,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Blue whiting,Marine,Lean,61695000,Grams,2011,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Blue whiting,Marine,Lean,26655440000,Grams,2012,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Blue whiting,Marine,Lean,22486675000,Grams,2012,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Blue whiting,Marine,Lean,18598418000,Grams,2013,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Blue whiting,Marine,Lean,5084028000,Grams,2013,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Blue whiting,Marine,Lean,4386208000,Grams,2014,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Blue whiting,Marine,Lean,6775000,Grams,2014,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Blue whiting,Marine,Lean,1814312000,Grams,2015,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Blue whiting,Marine,Lean,35259000,Grams,2015,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Blue whiting,Marine,Lean,2690031000,Grams,2016,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Blue whiting,Marine,Lean,27842000,Grams,2016,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Blue whiting,Marine,Lean,444858000,Grams,2017,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Blue whiting,Marine,Lean,337430000,Grams,2017,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Blue whiting,Marine,Lean,10966099000,Grams,2018,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Blue whiting,Marine,Lean,14000,Grams,2018,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Blue whiting,Marine,Lean,21605253000,Grams,2019,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Blue whiting,Marine,Lean,83000,Grams,2019,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Blue whiting,Marine,Lean,31715131000,Grams,2020,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Blue whiting,Marine,Lean,13000,Grams,2020,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Bream,Marine,Lean,284154000,Grams,2009,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Bream,Marine,Lean,2528963000,Grams,2009,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Bream,Marine,Lean,429664000,Grams,2010,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Bream,Marine,Lean,2459943000,Grams,2010,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Bream,Marine,Lean,402350000,Grams,2011,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Bream,Marine,Lean,2957090000,Grams,2011,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Bream,Marine,Lean,904048000,Grams,2012,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Bream,Marine,Lean,5825354000,Grams,2012,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Bream,Marine,Lean,700236000,Grams,2013,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Bream,Marine,Lean,5607936000,Grams,2013,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Bream,Marine,Lean,868609000,Grams,2014,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Bream,Marine,Lean,4491316000,Grams,2014,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Bream,Marine,Lean,747453000,Grams,2015,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Bream,Marine,Lean,3386504000,Grams,2015,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
