Species,CalendarYear,SpeciesType,SACN,Imports,Exports,Consumption,Production,Purchases,UKPOP,Protein_g100g,Omega3_DHAEPA_g100g,VitaminA_ľg100g,VitaminD_ľg100g,VitaminB12_ľg100g,Zinc_mg100g,Iron_mg100g,Calcium_mg100g,Selenium_ľg100g,Iodine_ľg100g
Eel,2010,Diadromous,Oily,122941000,118663000,NA,NA,NA,62759500,17.3,5.69,600,30,3,2.6,0.4,43,57,43
Eel,2011,Diadromous,Oily,87217000,75398000,245381404,NA,NA,63285100,17.3,5.69,600,30,3,2.6,0.4,43,57,43
Haddock,2011,Marine,Lean,58161278000,2920126000,37386990529,14917768950,NA,63285100,17.8,0.080756276,1,NA,1.9,0.31,0.12,11,34,320
Haddock,2009,Marine,Lean,66617932000,2923138000,38532290234,18167814700,NA,62260500,17.8,0.080756276,1,NA,1.9,0.31,0.12,11,34,320
Haddock,2012,Marine,Lean,60024943000,1593024000,33206808564,17588289700,NA,63705000,17.8,0.080756276,1,NA,1.9,0.31,0.12,11,34,320
Haddock,2013,Marine,Lean,43925994000,1002164000,22716727880,19872954650,NA,64105700,17.8,0.080756276,1,NA,1.9,0.31,0.12,11,34,320
Haddock,2014,Marine,Lean,34298238000,930257000,17083578458,18128215500,NA,64596800,17.8,0.080756276,1,NA,1.9,0.31,0.12,11,34,320
Haddock,2010,Marine,Lean,59384776000,3458340000,38961904625,16810180200,NA,62759500,17.8,0.080756276,1,NA,1.9,0.31,0.12,11,34,320
Haddock,2017,Marine,Lean,45163726000,1141138000,20052914288,17120695200,NA,66040200,17.8,0.080756276,1,NA,1.9,0.31,0.12,11,34,320
Haddock,2019,Marine,Lean,49933774000,1918477000,18990663411,16876212000,NA,66796800,17.8,0.080756276,1,NA,1.9,0.31,0.12,11,34,320
Haddock,2016,Marine,Lean,43796595000,1149509000,16616299466,17015366750,NA,65648100,17.8,0.080756276,1,NA,1.9,0.31,0.12,11,34,320
Haddock,2020,Marine,Lean,45822580000,1464145000,9881715934,14426858550,NA,67081000,17.8,0.080756276,1,NA,1.9,0.31,0.12,11,34,320
Haddock,2015,Marine,Lean,40335210000,893941000,16370938865,16658168100,NA,65110000,17.8,0.080756276,1,NA,1.9,0.31,0.12,11,34,320
Haddock,2018,Marine,Lean,48809819000,1303657000,16211387490,17829564950,NA,66435600,17.8,0.080756276,1,NA,1.9,0.31,0.12,11,34,320
Halibut,2013,Marine,Oily,1493863000,512043000,NA,47895525,NA,64105700,17,0.81,17,9.7,0.7,0.4,0.2,4,60,21
Halibut,2015,Marine,Oily,943886000,412534000,NA,50137470,NA,65110000,17,0.81,17,9.7,0.7,0.4,0.2,4,60,21
Halibut,2019,Marine,Oily,1145696000,274964000,NA,112993515,NA,66796800,17,0.81,17,9.7,0.7,0.4,0.2,4,60,21
Halibut,2011,Marine,Oily,1650897000,960261000,541192069,85742370,NA,63285100,17,0.81,17,9.7,0.7,0.4,0.2,4,60,21
Halibut,2010,Marine,Oily,2057218000,1272072000,1544075475,147622050,NA,62759500,17,0.81,17,9.7,0.7,0.4,0.2,4,60,21
Halibut,2017,Marine,Oily,1159575000,335194000,NA,92720700,NA,66040200,17,0.81,17,9.7,0.7,0.4,0.2,4,60,21
